name,type,required,default,example,enum,description,path,interface_id,is_amount_field,is_quantity_field,is_time_field,is_status_field,is_id_field,suggested_db_column
code,int,,,0,,状态码，0 成功,code,LX-001128D990D5,否,否,否,是,否,lx_code
data,array,,,,,响应数据,data,LX-001128D990D5,否,否,否,否,否,lx_data
asin,string,,,B0BBB1QWER,,ASIN,data[].asin,LX-001128D990D5,否,否,否,否,否,lx_asin
asin_url,string,,,https://www.amazon.com/xxxxxxx,,ASIN地址,data[].asin_url,LX-001128D990D5,否,否,否,否,否,lx_asin_url
avg_currency,string,,,$,,平均价格的货币符号,data[].avg_currency,LX-001128D990D5,是,否,否,否,否,lx_avg_currency
avg_price,string,,,0.00,,平均价格,data[].avg_price,LX-001128D990D5,是,否,否,否,否,lx_avg_price
big_category,string,,,kitchen electricties,,大类排名名称,data[].big_category,LX-001128D990D5,否,否,否,否,否,lx_big_category
big_category_rank,string,,,1,,大类排名名次,data[].big_category_rank,LX-001128D990D5,否,否,否,否,否,lx_big_category_rank
buybox_currency,string,,,$,,当前buybox货币符号,data[].buybox_currency,LX-001128D990D5,否,否,否,否,否,lx_buybox_currency
buybox_price,string,,,0.00,,当前buybox价格,data[].buybox_price,LX-001128D990D5,是,否,否,否,否,lx_buybox_price
buybox_usd_price,string,,,0.00,,当前buybox的USD价格,data[].buybox_usd_price,LX-001128D990D5,是,否,否,否,否,lx_buybox_usd_price
category_list,array,,,,,竞品分类,data[].category_list,LX-001128D990D5,否,否,否,否,否,lx_category_list
category_name,string,,,分类1,,分类名称,data[].category_list.category_name,LX-001128D990D5,否,否,否,否,否,lx_category_name
creator,string,,,超级管理员,,竞品记录创建人,data[].creator,LX-001128D990D5,否,否,否,否,否,lx_creator
creator_uid,string,,,1,,监控记录创建人uid,data[].creator_uid,LX-001128D990D5,否,否,否,否,否,lx_creator_uid
currency,string,,,$,,货币,data[].currency,LX-001128D990D5,否,否,否,否,否,lx_currency
fba_seller_num,int,,,0,,当前fba卖家数量,data[].fba_seller_num,LX-001128D990D5,否,是,否,否,否,lx_fba_seller_num
fbm_seller_num,int,,,1,,当前fbm卖家数量,data[].fbm_seller_num,LX-001128D990D5,否,是,否,否,否,lx_fbm_seller_num
featurebullets,array,,,"[""专业级的厨师刀套装""]",,商品要点,data[].featurebullets,LX-001128D990D5,否,否,否,否,否,lx_featurebullets
init_big_category_rank,int,,,0,,初始大类排名,data[].init_big_category_rank,LX-001128D990D5,否,否,否,否,否,lx_init_big_category_rank
init_buybox_price,string,,,0.00,,初始buybox价格,data[].init_buybox_price,LX-001128D990D5,是,否,否,否,否,lx_init_buybox_price
init_fba_seller_num,int,,,0,,初始fba卖家数量,data[].init_fba_seller_num,LX-001128D990D5,否,是,否,否,否,lx_init_fba_seller_num
init_fbm_seller_num,int,,,0,,初始fbm卖家数量,data[].init_fbm_seller_num,LX-001128D990D5,否,是,否,否,否,lx_init_fbm_seller_num
item_weight,string,,,0.634 ounces,,商品重量,data[].item_weight,LX-001128D990D5,否,否,否,否,否,lx_item_weight
last_update_event,array,,,,,最近更新事件,data[].last_update_event,LX-001128D990D5,否,否,是,否,否,lx_last_update_event
level_name,string,,,B,,竞品等级名称,data[].level_name,LX-001128D990D5,否,否,否,否,否,lx_level_name
list_price,string,,,1.01,,商品标价,data[].list_price,LX-001128D990D5,是,否,否,否,否,lx_list_price
main_image,string,,,https://m.media/xxxx.jpg,,主图,data[].main_image,LX-001128D990D5,否,否,否,否,否,lx_main_image
mid,int,,,1,,国家id,data[].mid,LX-001128D990D5,否,否,否,否,否,lx_mid
monitor_status,int,,,1,,监控状态： 0 暂停监控 1 监控中,data[].monitor_status,LX-001128D990D5,否,否,否,是,否,lx_monitor_status
monitor_uids,array,,,542,,监控用户ID,data[].monitor_uids,LX-001128D990D5,否,否,否,否,否,lx_monitor_uids
price,string,,,1.01,,商品价格,data[].price,LX-001128D990D5,是,否,否,否,否,lx_price
product_dimensions,string,,,2.44 x 1.3 x 0.35 inches,,商品尺寸,data[].product_dimensions,LX-001128D990D5,否,否,否,否,否,lx_product_dimensions
rating,string,,,0,,rating,data[].rating,LX-001128D990D5,否,否,否,否,否,lx_rating
review_num,string,,,123,,review数量,data[].review_num,LX-001128D990D5,否,是,否,否,否,lx_review_num
search_term,string,,,,,Search Term,data[].search_term,LX-001128D990D5,否,否,否,否,否,lx_search_term
small_ranks,array,,,,,小类排名,data[].small_ranks,LX-001128D990D5,否,否,否,否,否,lx_small_ranks
init_small_rank,int,,,9,,初始小类排名,data[].small_ranks.init_small_rank,LX-001128D990D5,否,否,否,否,否,lx_init_small_rank
small_category_text,string,,,xxx,,小类排名名称,data[].small_ranks.small_category_text,LX-001128D990D5,否,否,否,否,否,lx_small_category_text
small_rank,int,,,12,,小类排名,data[].small_ranks.small_rank,LX-001128D990D5,否,否,否,否,否,lx_small_rank
star,string,,,0.0,,评分,data[].star,LX-001128D990D5,否,否,否,否,否,lx_star
thumbnail,array,,,"[""https://m.media/xxxx.jpg""]",,商品轮播图,data[].thumbnail,LX-001128D990D5,否,否,否,否,否,lx_thumbnail
title,string,,,Super J Running Belt for Gym Workout Exercise Stable Sports Waist Bag Ultra Light Bounce Free,,商品标题,data[].title,LX-001128D990D5,否,否,否,否,否,lx_title
error_details,array,,,,,错误信息,error_details,LX-001128D990D5,否,否,否,否,否,lx_error_details
message,string,,,success,,提示信息,message,LX-001128D990D5,否,否,否,否,否,lx_message
request_id,string,,,60CEFCDF-BF57-6E6E-541A-C31E83B266BE,,请求链路id,request_id,LX-001128D990D5,否,否,否,否,是,lx_request_id
response_time,string,,,2023-08-16 18:18:31,,响应时间,response_time,LX-001128D990D5,否,否,是,否,否,lx_response_time
total,int,,,2,,总数,total,LX-001128D990D5,否,否,否,否,否,lx_total
code,int,是,,0,,状态码， 0 成功,code,LX-0070B9951962,否,否,否,是,否,lx_code
data,array,是,,,,响应数据,data,LX-0070B9951962,否,否,否,否,否,lx_data
adjustment_cost,number,是,,0.00,,库存调整（成本）,data[].adjustment_cost,LX-0070B9951962,是,是,否,否,否,lx_adjustment_cost
adjustment_count,number,是,,,,库存调整（数量）,data[].adjustment_count,LX-0070B9951962,否,是,否,否,否,lx_adjustment_count
allocation_in_cost,number,是,,0.00,,调拨入库（成本）,data[].allocation_in_cost,LX-0070B9951962,是,否,否,否,否,lx_allocation_in_cost
allocation_in_count,number,是,,,,调拨入库（数量）,data[].allocation_in_count,LX-0070B9951962,否,是,否,否,否,lx_allocation_in_count
allocation_in_transit_cost,number,是,,13.00,,期末在途（成本）,data[].allocation_in_transit_cost,LX-0070B9951962,是,否,否,否,否,lx_allocation_in_transit_cost
allocation_in_transit_count,number,是,,1,,期末在途（数量）,data[].allocation_in_transit_count,LX-0070B9951962,否,是,否,否,否,lx_allocation_in_transit_count
allocation_out_cost,number,是,,0.00,,调拨出库（成本）,data[].allocation_out_cost,LX-0070B9951962,是,否,否,否,否,lx_allocation_out_cost
allocation_out_count,number,是,,2,,调拨出库（数量）,data[].allocation_out_count,LX-0070B9951962,否,是,否,否,否,lx_allocation_out_count
attribute_text,string,是,,全部,,库存属性,data[].attribute_text,LX-0070B9951962,否,是,否,否,否,lx_attribute_text
brand,string,是,,某为,,品牌,data[].brand,LX-0070B9951962,否,否,否,否,否,lx_brand
category1,string,是,,手机1,,一级分类,data[].category1,LX-0070B9951962,否,否,否,否,否,lx_category1
category2,string,是,,手机2,,二级分类,data[].category2,LX-0070B9951962,否,否,否,否,否,lx_category2
category3,string,是,,手机3,,三级分类,data[].category3,LX-0070B9951962,否,否,否,否,否,lx_category3
cost_change_cost,number,是,,0.00,,成本补录（成本）,data[].cost_change_cost,LX-0070B9951962,是,否,否,否,否,lx_cost_change_cost
day_early_cost,number,是,,723024419.45,,期初库存（成本）,data[].day_early_cost,LX-0070B9951962,是,是,否,否,否,lx_day_early_cost
day_early_count,number,是,,2450424,,期初库存（数量）,data[].day_early_count,LX-0070B9951962,否,是,否,否,否,lx_day_early_count
day_end_cost,number,是,,723024441.95,,期末库存（成本）,data[].day_end_cost,LX-0070B9951962,是,是,否,否,否,lx_day_end_cost
day_end_count,number,是,,2451454,,期末库存（数量）,data[].day_end_count,LX-0070B9951962,否,是,否,否,否,lx_day_end_count
fba_out_cost,number,是,,0.00,,FBA出库（成本）,data[].fba_out_cost,LX-0070B9951962,是,否,否,否,否,lx_fba_out_cost
fba_out_count,number,是,,2,,FBA出库（数量）,data[].fba_out_count,LX-0070B9951962,否,是,否,否,否,lx_fba_out_count
fbm_out_cost,number,是,,0.00,,FBM出库（成本）,data[].fbm_out_cost,LX-0070B9951962,是,否,否,否,否,lx_fbm_out_cost
fbm_out_count,number,是,,3,,FBM出库（数量）,data[].fbm_out_count,LX-0070B9951962,否,是,否,否,否,lx_fbm_out_count
fnsku,string,是,,XASSV21321,,FNSKU,data[].fnsku,LX-0070B9951962,否,否,否,否,否,lx_fnsku
inventory_deficit_out_cost,number,是,,0.00,,盘亏出库（成本）,data[].inventory_deficit_out_cost,LX-0070B9951962,是,否,否,否,否,lx_inventory_deficit_out_cost
inventory_deficit_out_count,number,是,,,,盘亏出库（数量）,data[].inventory_deficit_out_count,LX-0070B9951962,否,是,否,否,否,lx_inventory_deficit_out_count
inventory_surplus_in_cost,number,是,,0.00,,盘盈入库（成本）,data[].inventory_surplus_in_cost,LX-0070B9951962,是,否,否,否,否,lx_inventory_surplus_in_cost
inventory_surplus_in_count,number,是,,2,,盘盈入库（数量）,data[].inventory_surplus_in_count,LX-0070B9951962,否,是,否,否,否,lx_inventory_surplus_in_count
other_in_cost,number,是,,0.00,,其他入库（成本）,data[].other_in_cost,LX-0070B9951962,是,否,否,否,否,lx_other_in_cost
other_in_count,number,是,,1000,,其他入库（数量）,data[].other_in_count,LX-0070B9951962,否,是,否,否,否,lx_other_in_count
other_out_cost,number,是,,0.00,,其他出库（成本）,data[].other_out_cost,LX-0070B9951962,是,否,否,否,否,lx_other_out_cost
other_out_count,number,是,,,,其他出库（数量）,data[].other_out_count,LX-0070B9951962,否,是,否,否,否,lx_other_out_count
product_name,string,是,,商品名,,品名,data[].product_name,LX-0070B9951962,否,否,否,否,否,lx_product_name
product_type,string,是,,辅料,,产品类型,data[].product_type,LX-0070B9951962,否,否,否,否,否,lx_product_type
purchase_in_cost,number,是,,22.50,,采购入库（成本）,data[].purchase_in_cost,LX-0070B9951962,是,否,否,否,否,lx_purchase_in_cost
purchase_in_count,number,是,,30,,采购入库（数量）,data[].purchase_in_count,LX-0070B9951962,否,是,否,否,否,lx_purchase_in_count
purchase_return_cost,number,是,,0.00,,采购退货（成本）,data[].purchase_return_cost,LX-0070B9951962,是,否,否,否,否,lx_purchase_return_cost
purchase_return_count,number,是,,,,采购退货（数量）,data[].purchase_return_count,LX-0070B9951962,否,是,否,否,否,lx_purchase_return_count
return_goods_in_cost,number,是,,0.00,,退货入库（成本）,data[].return_goods_in_cost,LX-0070B9951962,是,否,否,否,否,lx_return_goods_in_cost
return_goods_in_count,number,是,,2,,退货入库（数量）,data[].return_goods_in_count,LX-0070B9951962,否,是,否,否,否,lx_return_goods_in_count
rotation_day_cost,number,是,,,,库存周转天数（成本）,data[].rotation_day_cost,LX-0070B9951962,是,是,否,否,否,lx_rotation_day_cost
rotation_day_count,number,是,,,,库存周转天数（数量）,data[].rotation_day_count,LX-0070B9951962,否,是,否,否,否,lx_rotation_day_count
rotation_rate_cost,number,是,,0.0000,,库存周转率（成本）,data[].rotation_rate_cost,LX-0070B9951962,是,是,否,否,否,lx_rotation_rate_cost
rotation_rate_count,number,是,,,,库存周转率（数量）,data[].rotation_rate_count,LX-0070B9951962,否,是,否,否,否,lx_rotation_rate_count
sales_rate,number,是,,,,动销率,data[].sales_rate,LX-0070B9951962,否,否,否,否,否,lx_sales_rate
sales_ratio_cost,number,是,,,,存销比（成本）,data[].sales_ratio_cost,LX-0070B9951962,是,否,否,否,否,lx_sales_ratio_cost
sales_ratio_count,number,是,,,,存销比（数量）,data[].sales_ratio_count,LX-0070B9951962,否,是,否,否,否,lx_sales_ratio_count
seller_name,string,是,,店铺231,,店铺,data[].seller_name,LX-0070B9951962,否,否,否,否,否,lx_seller_name
sku,string,是,,SSS,,SKU,data[].sku,LX-0070B9951962,否,否,否,否,否,lx_sku
sku_attribute,string,是,,红色,,属性,data[].sku_attribute,LX-0070B9951962,否,否,否,否,否,lx_sku_attribute
spu,string,是,,1,,SPU,data[].spu,LX-0070B9951962,否,否,否,否,否,lx_spu
spu_name,string,是,,手机,,款名,data[].spu_name,LX-0070B9951962,否,否,否,否,否,lx_spu_name
sys_wid,int,是,,32,,仓库id,data[].sys_wid,LX-0070B9951962,否,否,否,否,是,lx_sys_wid
ware_house_name,string,是,,仓库1,,仓库名称,data[].ware_house_name,LX-0070B9951962,否,否,否,否,否,lx_ware_house_name
wfs_out_cost,number,是,,0.00,,WFS出库（成本）,data[].wfs_out_cost,LX-0070B9951962,是,否,否,否,否,lx_wfs_out_cost
wfs_out_count,number,是,,,,WFS出库（数量）,data[].wfs_out_count,LX-0070B9951962,否,是,否,否,否,lx_wfs_out_count
error_details,array,是,,,,错误信息,error_details,LX-0070B9951962,否,否,否,否,否,lx_error_details
message,string,是,,success,,消息提示,message,LX-0070B9951962,否,否,否,否,否,lx_message
request_id,string,是,,8D680B8B-3C6F-3E16-F055-73DC70EAD977,,请求链路id,request_id,LX-0070B9951962,否,否,否,否,是,lx_request_id
response_time,string,是,,2020-05-18 11:23:47,,响应时间,response_time,LX-0070B9951962,否,否,是,否,否,lx_response_time
total,int,是,,1,,总数,total,LX-0070B9951962,否,否,否,否,否,lx_total
code,int,是,,0,,状态码，0 成功,code,LX-01FE108B1B92,否,否,否,是,否,lx_code
data,array,是,,,,响应数据,data,LX-01FE108B1B92,否,否,否,否,否,lx_data
error_details,array,是,,,,错误信息,error_details,LX-01FE108B1B92,否,否,否,否,否,lx_error_details
message,string,是,,success,,信息提示,message,LX-01FE108B1B92,否,否,否,否,否,lx_message
request_id,string,是,,D17B0688-C52D-1BA9-1BCC-50AA00058A3F,,请求链路id,request_id,LX-01FE108B1B92,否,否,否,否,是,lx_request_id
response_time,string,是,,2022-08-23 16:56:31,,响应时间,response_time,LX-01FE108B1B92,否,否,是,否,否,lx_response_time
code,number,是,,0,,消息提示,code,LX-020A91A14B42,否,否,否,否,否,lx_code
data,object,是,,,,,data,LX-020A91A14B42,否,否,否,否,否,lx_data
current,number,是,,1,,,data.current,LX-020A91A14B42,否,否,否,否,否,lx_current
currentSize,number,是,,1,,,data.currentSize,LX-020A91A14B42,否,否,否,否,否,lx_current_size
hasNextPage,boolean,是,,false,,,data.hasNextPage,LX-020A91A14B42,否,否,否,否,否,lx_has_next_page
hasPreviousPage,boolean,是,,false,,,data.hasPreviousPage,LX-020A91A14B42,否,否,否,否,否,lx_has_previous_page
pageCount,number,是,,1,,,data.pageCount,LX-020A91A14B42,否,是,否,否,否,lx_page_count
records,array,是,,,,,data.records,LX-020A91A14B42,否,否,否,否,否,lx_records
buyerGets,string,是,,,,买家获得,data.records[].buyerGets,LX-020A91A14B42,否,否,否,否,否,lx_buyer_gets
buyerGetsNum,number,是,,0,,买家获得值,data.records[].buyerGetsNum,LX-020A91A14B42,否,是,否,否,否,lx_buyer_gets_num
currencyIcon,string,是,,JP¥,,货币icon,data.records[].currencyIcon,LX-020A91A14B42,否,否,否,否,否,lx_currency_icon
discountProduct,string,是,,,,优惠商品,data.records[].discountProduct,LX-020A91A14B42,否,是,否,否,否,lx_discount_product
exchangeLimit,number,是,,0,,是否限制兑换，1是0否,data.records[].exchangeLimit,LX-020A91A14B42,否,否,否,否,否,lx_exchange_limit
excludeProduct,string,是,,,,排除商品,data.records[].excludeProduct,LX-020A91A14B42,否,否,否,否,否,lx_exclude_product
firstSyncTime,string,是,,2023-03-06 18:15:41,,首次同步时间,data.records[].firstSyncTime,LX-020A91A14B42,否,否,是,否,否,lx_first_sync_time
lastSyncTime,string,是,,2024-01-09 14:13:20,,最后同步时间,data.records[].lastSyncTime,LX-020A91A14B42,否,否,是,否,否,lx_last_sync_time
name,string,是,,,,名称-内部描述,data.records[].name,LX-020A91A14B42,否,否,否,否,否,lx_name
originStatus,string,是,,EXPIRED,,促销活动平台状态,data.records[].originStatus,LX-020A91A14B42,否,否,否,是,否,lx_origin_status
originStatusText,string,是,,已过期,,促销活动平台状态,data.records[].originStatusText,LX-020A91A14B42,否,否,否,是,否,lx_origin_status_text
participateCondition,string,是,,,,参与条件,data.records[].participateCondition,LX-020A91A14B42,否,否,否,否,否,lx_participate_condition
participateConditionNum,number,是,,0,,参与条件数值,data.records[].participateConditionNum,LX-020A91A14B42,否,是,否,否,否,lx_participate_condition_num
promotionCode,string,是,,,,优惠码,data.records[].promotionCode,LX-020A91A14B42,否,否,否,否,否,lx_promotion_code
promotionCodeType,null,是,,null,,优惠码类型，1优先型，2无限型,data.records[].promotionCodeType,LX-020A91A14B42,否,否,否,否,否,lx_promotion_code_type
promotionEndTime,string,是,,2023-01-03 23:59:00,,活动结束时间,data.records[].promotionEndTime,LX-020A91A14B42,否,否,是,否,否,lx_promotion_end_time
promotionId,string,是,,VPC-6-14498719 Coupon,,活动id，唯一标识,data.records[].promotionId,LX-020A91A14B42,否,否,否,否,是,lx_promotion_id
promotionStartTime,string,是,,2023-01-02 00:00:00,,活动开始时间,data.records[].promotionStartTime,LX-020A91A14B42,否,否,是,否,否,lx_promotion_start_time
promotionStartTimeUtc,null,是,,null,,活动开始时间Utc,data.records[].promotionStartTimeUtc,LX-020A91A14B42,否,否,是,否,否,lx_promotion_start_time_utc
promotionType,number,是,,0,,促销类型,data.records[].promotionType,LX-020A91A14B42,否,否,否,否,否,lx_promotion_type
promotionTypeText,string,是,,未定义类型,,促销类型,data.records[].promotionTypeText,LX-020A91A14B42,否,否,否,否,否,lx_promotion_type_text
purchaseProduct,string,是,,,,需购买商品,data.records[].purchaseProduct,LX-020A91A14B42,否,否,否,否,否,lx_purchase_product
regionName,string,是,,日本,,国家/地区名,data.records[].regionName,LX-020A91A14B42,否,否,否,否,否,lx_region_name
remark,string,是,,,,备注,data.records[].remark,LX-020A91A14B42,否,否,否,否,否,lx_remark
salesAmount,number,是,,0,,活动总销售额,data.records[].salesAmount,LX-020A91A14B42,是,否,否,否,否,lx_sales_amount
salesAmountUsd,number,是,,0,,活动总销售额，换算成美元,data.records[].salesAmountUsd,LX-020A91A14B42,是,否,否,否,否,lx_sales_amount_usd
salesVolume,number,是,,0,,活动总销量,data.records[].salesVolume,LX-020A91A14B42,否,否,否,否,否,lx_sales_volume
status,number,是,,2,,状态,data.records[].status,LX-020A91A14B42,否,否,否,是,否,lx_status
statusText,string,是,,已过期,,状态,data.records[].statusText,LX-020A91A14B42,否,否,否,是,否,lx_status_text
storeId,string,是,,132,,店铺id,data.records[].storeId,LX-020A91A14B42,否,否,否,否,否,lx_store_id
storeName,string,是,,feifan-JP1,,店铺名,data.records[].storeName,LX-020A91A14B42,否,否,否,否,否,lx_store_name
trackingId,string,是,,VPC-6-14498719 Coupon,,追踪编码,data.records[].trackingId,LX-020A91A14B42,否,否,否,否,否,lx_tracking_id
size,number,是,,20,,,data.size,LX-020A91A14B42,否,否,否,否,否,lx_size
total,number,是,,1,,,data.total,LX-020A91A14B42,否,否,否,否,否,lx_total
error_details,array,是,,[],,错误信息,error_details,LX-020A91A14B42,否,否,否,否,否,lx_error_details
message,string,是,,success,,消息,message,LX-020A91A14B42,否,否,否,否,否,lx_message
request_id,string,是,,c6ed840963a24d3e9805ca03b269f51b.1752205194893,,请求id,request_id,LX-020A91A14B42,否,否,否,否,是,lx_request_id
response_time,string,是,,2025-07-11 11:40:01,,响应时间,response_time,LX-020A91A14B42,否,否,是,否,否,lx_response_time
total,number,是,,1,,,total,LX-020A91A14B42,否,否,否,否,否,lx_total
code,int,是,,0,,状态码，0 成功,code,LX-022E3FB1A8C6,否,否,否,是,否,lx_code
data,array,是,,,,响应数据,data,LX-022E3FB1A8C6,否,否,否,否,否,lx_data
fpoft_id,string,是,,305250800313991680,,备用id,data[].fpoft_id,LX-022E3FB1A8C6,否,否,否,否,是,lx_fpoft_id
id,int,是,,1000014,,费用类型id,data[].id,LX-022E3FB1A8C6,是,否,否,否,是,lx_id
name,string,是,,费用类型1,,费用名称,data[].name,LX-022E3FB1A8C6,是,否,否,否,否,lx_name
sort,int,是,,0,,排序,data[].sort,LX-022E3FB1A8C6,否,否,否,否,否,lx_sort
msg,string,是,,操作成功,,消息提示,msg,LX-022E3FB1A8C6,否,否,否,否,否,lx_msg
code,int,是,,0,,状态码，0 成功,code,LX-02B0DCBC4860,否,否,否,是,否,lx_code
data,array,是,,,,响应数据,data,LX-02B0DCBC4860,否,否,否,否,否,lx_data
fail,string,是,,2,,失败数量,data[].fail,LX-02B0DCBC4860,否,是,否,否,否,lx_fail
failList,array,是,,,,失败明细,data[].failList,LX-02B0DCBC4860,否,否,否,否,否,lx_fail_list
detail,string,是,,,,失败原因,data[].failList.detail,LX-02B0DCBC4860,否,否,否,否,否,lx_detail
orderSn,string,是,,IB220927004,,单号,data[].failList.orderSn,LX-02B0DCBC4860,否,否,否,否,是,lx_order_sn
success,string,是,,0,,成功数量,data[].success,LX-02B0DCBC4860,否,是,否,否,否,lx_success
total,string,是,,2,,总单数,data[].total,LX-02B0DCBC4860,否,否,否,否,否,lx_total
error_details,array,是,,,,错误信息,error_details,LX-02B0DCBC4860,否,否,否,否,否,lx_error_details
message,string,是,,success,,消息提示,message,LX-02B0DCBC4860,否,否,否,否,否,lx_message
request_id,string,是,,BD36FCD8-E32E-E9E1-6BEC-06DE331C95AB,,请求链路id,request_id,LX-02B0DCBC4860,否,否,否,否,是,lx_request_id
response_time,string,是,,2021-06-15 17:49:16,,响应时间,response_time,LX-02B0DCBC4860,否,否,是,否,否,lx_response_time
code,int,是,,0,,状态码，0：成功,code,LX-032E4A4848FB,否,否,否,是,否,lx_code
data,string,是,,,,响应数据,data,LX-032E4A4848FB,否,否,否,否,否,lx_data
error_details,array,是,,,,数据校验失败时的错误详情,error_details,LX-032E4A4848FB,否,否,否,否,否,lx_error_details
message,string,是,,"""success""",,消息提示,message,LX-032E4A4848FB,否,否,否,否,否,lx_message
request_id,string,是,,"""e846890330694325a1d04895b4a9bf2d.1732089924626""",,请求链路id,request_id,LX-032E4A4848FB,否,否,否,否,是,lx_request_id
response_time,string,是,,"""2024-11-20 16:05:25""",,响应时间,response_time,LX-032E4A4848FB,否,否,是,否,否,lx_response_time
code,number,是,,0,,状态码，0 成功,code,LX-03449E2EC06C,否,否,否,是,否,lx_code
data,object,是,,,,,data,LX-03449E2EC06C,否,否,否,否,否,lx_data
current,number,是,,1,,,data.current,LX-03449E2EC06C,否,否,否,否,否,lx_current
currentSize,number,是,,1,,,data.currentSize,LX-03449E2EC06C,否,否,否,否,否,lx_current_size
hasNextPage,boolean,是,,false,,,data.hasNextPage,LX-03449E2EC06C,否,否,否,否,否,lx_has_next_page
hasPreviousPage,boolean,是,,false,,,data.hasPreviousPage,LX-03449E2EC06C,否,否,否,否,否,lx_has_previous_page
pageCount,number,是,,1,,,data.pageCount,LX-03449E2EC06C,否,是,否,否,否,lx_page_count
records,array,是,,,,,data.records,LX-03449E2EC06C,否,否,否,否,否,lx_records
budget,string,是,,$100,,预算,data.records[].budget,LX-03449E2EC06C,否,否,否,否,否,lx_budget
cost,number,是,,0,,支出,data.records[].cost,LX-03449E2EC06C,是,否,否,否,否,lx_cost
currencyIcon,string,是,,$,,货币icon,data.records[].currencyIcon,LX-03449E2EC06C,否,否,否,否,否,lx_currency_icon
discount,string,是,,5.00%,,折扣,data.records[].discount,LX-03449E2EC06C,否,是,否,否,否,lx_discount
drawQuantity,number,是,,0,,领取数,data.records[].drawQuantity,LX-03449E2EC06C,否,是,否,否,否,lx_draw_quantity
exchangeQuantity,number,是,,0,,兑换数,data.records[].exchangeQuantity,LX-03449E2EC06C,否,是,否,否,否,lx_exchange_quantity
exchangeRate,number,是,,0,,兑换率,data.records[].exchangeRate,LX-03449E2EC06C,否,否,否,否,否,lx_exchange_rate
firstSyncTime,string,是,,2024-11-07 10:36:28,,首次同步时间,data.records[].firstSyncTime,LX-03449E2EC06C,否,否,是,否,否,lx_first_sync_time
lastSyncTime,string,是,,2024-11-07 17:25:19,,最后同步时间,data.records[].lastSyncTime,LX-03449E2EC06C,否,否,是,否,否,lx_last_sync_time
name,string,是,,Save 5% on asdfasdfa,,优惠券名称,data.records[].name,LX-03449E2EC06C,否,否,否,否,否,lx_name
needsAttention,boolean,是,,false,,状态,data.records[].needsAttention,LX-03449E2EC06C,否,否,否,是,否,lx_needs_attention
originStatus,string,是,,EXPIRED,,活动状态： ACTIVE 进行中 CANCELED 已取消 EXPIRED 已过期 RUNNING 生效中 NEEDS ACTION 需要注意 EXPIRING SOON 即将过期 SUBMITTED 已提交 FAILED 失败,data.records[].originStatus,LX-03449E2EC06C,否,否,否,是,否,lx_origin_status
originStatusText,string,是,,已过期,,活动状态,data.records[].originStatusText,LX-03449E2EC06C,否,否,否,是,否,lx_origin_status_text
promotionEndTime,string,是,,2024-09-12 00:00:00,,活动结束时间,data.records[].promotionEndTime,LX-03449E2EC06C,否,否,是,否,否,lx_promotion_end_time
promotionId,string,是,,aec82146-b1c3-46ed-b044-05d4b0e8baf5,,优惠券id,data.records[].promotionId,LX-03449E2EC06C,否,否,否,否,否,lx_promotion_id
promotionStartTime,string,是,,2024-09-10 00:00:00,,活动开始时间,data.records[].promotionStartTime,LX-03449E2EC06C,否,否,是,否,否,lx_promotion_start_time
promotionStartTimeUtc,null,是,,null,,活动开始时间UTC时间,data.records[].promotionStartTimeUtc,LX-03449E2EC06C,否,否,是,否,否,lx_promotion_start_time_utc
regionName,string,是,,美国,,国家/地区,data.records[].regionName,LX-03449E2EC06C,否,否,否,否,否,lx_region_name
remark,string,是,,,,备注,data.records[].remark,LX-03449E2EC06C,否,否,否,否,否,lx_remark
salesAmount,number,是,,0,,活动总销售额,data.records[].salesAmount,LX-03449E2EC06C,是,否,否,否,否,lx_sales_amount
salesAmountUsd,number,是,,0,,活动总销售额，换算成美元,data.records[].salesAmountUsd,LX-03449E2EC06C,是,否,否,否,否,lx_sales_amount_usd
salesVolume,number,是,,0,,活动总销量,data.records[].salesVolume,LX-03449E2EC06C,否,否,否,否,否,lx_sales_volume
status,number,是,,2,,商品状态：1 active，2 draft，3 archived，4 deleted,data.records[].status,LX-03449E2EC06C,否,否,否,是,否,lx_status
statusText,string,是,,已过期,,状态,data.records[].statusText,LX-03449E2EC06C,否,否,否,是,否,lx_status_text
storeId,string,是,,43,,店铺id,data.records[].storeId,LX-03449E2EC06C,否,否,否,否,否,lx_store_id
